#k-distance eigenvalue[eV]
0.06302072 -21.11730000
0.09453108 -21.11730000
0.12604144 -21.11730000
0.12604144 -21.11730000
0.14423396 -21.11730000
0.16242647 -21.11730000
0.18061899 -21.11730000
0.19881150 -21.11730000
0.19881150 -21.11730000
0.23519653 -21.11730000
0.27158156 -21.11720000
0.30796659 -21.11720000
0.34435162 -21.11720000
0.34435162 -21.11720000
0.56279689 -21.10880000
0.78124217 -21.08830000
0.99968744 -21.06780000
1.21813272 -21.05930000
1.21813272 -21.05930000
1.24964308 -21.05930000
1.28115344 -21.05930000
1.31266380 -21.05930000
1.34417416 -21.05930000
1.34417416 -21.05930000
1.36236667 -21.05930000
1.38055919 -21.05930000
1.39875170 -21.05930000
1.41694422 -21.05930000
1.41694422 -21.05930000
1.45332925 -21.05930000
1.48971427 -21.05930000
1.52609931 -21.05930000
1.56248434 -21.05930000
1.56248434 -21.05930000
1.78092961 -21.06780000
1.99937489 -21.08840000
2.21782016 -21.10880000
2.43626544 -21.11730000
2.43626544 -21.05930000
2.65471071 -21.06780000
2.87315599 -21.08840000
3.09160126 -21.10880000
3.31004654 -21.11730000

0.00000000 -21.11720000
0.03151036 -21.11720000
0.06302072 -21.11720000
0.09453108 -21.11720000
0.12604144 -21.11720000
0.12604144 -21.11720000
0.14423396 -21.11720000
0.16242647 -21.11720000
0.18061899 -21.11720000
0.19881150 -21.11720000
0.19881150 -21.11720000
0.23519653 -21.11720000
0.27158156 -21.11720000
0.30796659 -21.11720000
0.34435162 -21.11720000
0.34435162 -21.11720000
0.56279689 -21.10870000
0.78124217 -21.08820000
0.99968744 -21.06770000
1.21813272 -21.05920000
1.21813272 -21.05920000
1.24964308 -21.05920000
1.28115344 -21.05920000
1.31266380 -21.05920000
1.34417416 -21.05920000
1.34417416 -21.05920000
1.36236667 -21.05920000
1.38055919 -21.05920000
1.39875170 -21.05920000
1.41694422 -21.05920000
1.41694422 -21.05920000
1.45332925 -21.05920000
1.48971427 -21.05920000
1.52609931 -21.05920000
1.56248434 -21.05920000
1.56248434 -21.05920000
1.78092961 -21.06770000
1.99937489 -21.08830000
2.21782016 -21.10870000
2.43626544 -21.11720000
2.43626544 -21.05920000
2.65471071 -21.06770000
2.87315599 -21.08830000
3.09160126 -21.10870000
3.31004654 -21.11720000

0.00000000 -21.11710000
0.03151036 -21.11710000
0.06302072 -21.11710000
0.09453108 -21.11710000
0.12604144 -21.11710000
0.12604144 -21.11710000
0.14423396 -21.11710000
0.16242647 -21.11710000
0.18061899 -21.11710000
0.19881150 -21.11710000
0.19881150 -21.11710000
0.23519653 -21.11710000
0.27158156 -21.11710000
0.30796659 -21.11710000
0.34435162 -21.11710000
0.34435162 -21.11710000
0.56279689 -21.10870000
0.78124217 -21.08810000
0.99968744 -21.06760000
1.21813272 -21.05920000
1.21813272 -21.05920000
1.24964308 -21.05910000
1.28115344 -21.05910000
1.31266380 -21.05920000
1.34417416 -21.05920000
1.34417416 -21.05920000
1.36236667 -21.05920000
1.38055919 -21.05920000
1.39875170 -21.05920000
1.41694422 -21.05920000
1.41694422 -21.05920000
1.45332925 -21.05920000
1.48971427 -21.05920000
1.52609931 -21.05920000
1.56248434 -21.05920000
1.56248434 -21.05920000
1.78092961 -21.06770000
1.99937489 -21.08820000
2.21782016 -21.10860000
2.43626544 -21.11710000
2.43626544 -21.05920000
2.65471071 -21.06770000
2.87315599 -21.08820000
3.09160126 -21.10860000
3.31004654 -21.11710000

0.00000000 -20.47180000
0.03151036 -20.47180000
0.06302072 -20.47180000
0.09453108 -20.47180000
0.12604144 -20.47180000
0.12604144 -20.47180000
0.14423396 -20.47180000
0.16242647 -20.47170000
0.18061899 -20.47170000
0.19881150 -20.47170000
0.19881150 -20.47170000
0.23519653 -20.47180000
0.27158156 -20.47180000
0.30796659 -20.47180000
0.34435162 -20.47180000
0.34435162 -20.47180000
0.56279689 -20.46100000
0.78124217 -20.43470000
0.99968744 -20.40800000
1.21813272 -20.39680000
1.21813272 -20.39680000
1.24964308 -20.39680000
1.28115344 -20.39680000
1.31266380 -20.39670000
1.34417416 -20.39670000
1.34417416 -20.39670000
1.36236667 -20.39670000
1.38055919 -20.39670000
1.39875170 -20.39670000
1.41694422 -20.39670000
1.41694422 -20.39670000
1.45332925 -20.39670000
1.48971427 -20.39680000
1.52609931 -20.39680000
1.56248434 -20.39680000
1.56248434 -20.39670000
1.78092961 -20.40790000
1.99937489 -20.43470000
2.21782016 -20.46100000
2.43626544 -20.47180000
2.43626544 -20.39670000
2.65471071 -20.40780000
2.87315599 -20.43460000
3.09160126 -20.46090000
3.31004654 -20.47170000

0.00000000 -20.47140000
0.03151036 -20.47140000
0.06302072 -20.47130000
0.09453108 -20.47110000
0.12604144 -20.47100000
0.12604144 -20.47100000
0.14423396 -20.47100000
0.16242647 -20.47100000
0.18061899 -20.47100000
0.19881150 -20.47100000
0.19881150 -20.47100000
0.23519653 -20.47110000
0.27158156 -20.47120000
0.30796659 -20.47140000
0.34435162 -20.47140000
0.34435162 -20.47140000
0.56279689 -20.46060000
0.78124217 -20.43430000
0.99968744 -20.40750000
1.21813272 -20.39640000
1.21813272 -20.39640000
1.24964308 -20.39630000
1.28115344 -20.39620000
1.31266380 -20.39610000
1.34417416 -20.39600000
1.34417416 -20.39600000
1.36236667 -20.39600000
1.38055919 -20.39600000
1.39875170 -20.39600000
1.41694422 -20.39600000
1.41694422 -20.39600000
1.45332925 -20.39610000
1.48971427 -20.39620000
1.52609931 -20.39630000
1.56248434 -20.39640000
1.56248434 -20.39600000
1.78092961 -20.40720000
1.99937489 -20.43400000
2.21782016 -20.46030000
2.43626544 -20.47100000
2.43626544 -20.39600000
2.65471071 -20.40720000
2.87315599 -20.43390000
3.09160126 -20.46020000
3.31004654 -20.47100000

0.00000000 -20.47040000
0.03151036 -20.47040000
0.06302072 -20.47040000
0.09453108 -20.47050000
0.12604144 -20.47050000
0.12604144 -20.47050000
0.14423396 -20.47060000
0.16242647 -20.47060000
0.18061899 -20.47080000
0.19881150 -20.47090000
0.19881150 -20.47090000
0.23519653 -20.47050000
0.27158156 -20.47040000
0.30796659 -20.47040000
0.34435162 -20.47040000
0.34435162 -20.47040000
0.56279689 -20.45960000
0.78124217 -20.43340000
0.99968744 -20.40670000
1.21813272 -20.39560000
1.21813272 -20.39560000
1.24964308 -20.39550000
1.28115344 -20.39560000
1.31266380 -20.39560000
1.34417416 -20.39560000
1.34417416 -20.39560000
1.36236667 -20.39560000
1.38055919 -20.39570000
1.39875170 -20.39580000
1.41694422 -20.39590000
1.41694422 -20.39590000
1.45332925 -20.39560000
1.48971427 -20.39550000
1.52609931 -20.39550000
1.56248434 -20.39560000
1.56248434 -20.39560000
1.78092961 -20.40680000
1.99937489 -20.43350000
2.21782016 -20.45980000
2.43626544 -20.47050000
2.43626544 -20.39590000
2.65471071 -20.40710000
2.87315599 -20.43380000
3.09160126 -20.46010000
3.31004654 -20.47090000

0.00000000 -20.47000000
0.03151036 -20.47000000
0.06302072 -20.47010000
0.09453108 -20.47030000
0.12604144 -20.47030000
0.12604144 -20.47030000
0.14423396 -20.47030000
0.16242647 -20.47020000
0.18061899 -20.47020000
0.19881150 -20.47010000
0.19881150 -20.47010000
0.23519653 -20.47020000
0.27158156 -20.47020000
0.30796659 -20.47010000
0.34435162 -20.47000000
0.34435162 -20.47000000
0.56279689 -20.45920000
0.78124217 -20.43300000
0.99968744 -20.40630000
1.21813272 -20.39510000
1.21813272 -20.39510000
1.24964308 -20.39520000
1.28115344 -20.39530000
1.31266380 -20.39540000
1.34417416 -20.39540000
1.34417416 -20.39540000
1.36236667 -20.39540000
1.38055919 -20.39530000
1.39875170 -20.39530000
1.41694422 -20.39530000
1.41694422 -20.39530000
1.45332925 -20.39540000
1.48971427 -20.39530000
1.52609931 -20.39520000
1.56248434 -20.39510000
1.56248434 -20.39540000
1.78092961 -20.40660000
1.99937489 -20.43330000
2.21782016 -20.45950000
2.43626544 -20.47030000
2.43626544 -20.39530000
2.65471071 -20.40640000
2.87315599 -20.43310000
3.09160126 -20.45940000
3.31004654 -20.47010000

0.00000000 -20.39060000
0.03151036 -20.39060000
0.06302072 -20.39040000
0.09453108 -20.39020000
0.12604144 -20.39000000
0.12604144 -20.39000000
0.14423396 -20.39000000
0.16242647 -20.39000000
0.18061899 -20.38990000
0.19881150 -20.38980000
0.19881150 -20.38980000
0.23519653 -20.39000000
0.27158156 -20.39030000
0.30796659 -20.39050000
0.34435162 -20.39060000
0.34435162 -20.39060000
0.56279689 -20.38010000
0.78124217 -20.35440000
0.99968744 -20.32840000
1.21813272 -20.31760000
1.21813272 -20.31760000
1.24964308 -20.31750000
1.28115344 -20.31740000
1.31266380 -20.31720000
1.34417416 -20.31710000
1.34417416 -20.31710000
1.36236667 -20.31710000
1.38055919 -20.31700000
1.39875170 -20.31700000
1.41694422 -20.31690000
1.41694422 -20.31690000
1.45332925 -20.31710000
1.48971427 -20.31730000
1.52609931 -20.31750000
1.56248434 -20.31760000
1.56248434 -20.31710000
1.78092961 -20.32790000
1.99937489 -20.35390000
2.21782016 -20.37950000
2.43626544 -20.39000000
2.43626544 -20.31690000
2.65471071 -20.32770000
2.87315599 -20.35370000
3.09160126 -20.37930000
3.31004654 -20.38980000

0.00000000 -20.38890000
0.03151036 -20.38900000
0.06302072 -20.38910000
0.09453108 -20.38930000
0.12604144 -20.38950000
0.12604144 -20.38950000
0.14423396 -20.38950000
0.16242647 -20.38950000
0.18061899 -20.38960000
0.19881150 -20.38970000
0.19881150 -20.38970000
0.23519653 -20.38950000
0.27158156 -20.38920000
0.30796659 -20.38900000
0.34435162 -20.38890000
0.34435162 -20.38890000
0.56279689 -20.37850000
0.78124217 -20.35290000
0.99968744 -20.32700000
1.21813272 -20.31610000
1.21813272 -20.31610000
1.24964308 -20.31620000
1.28115344 -20.31630000
1.31266380 -20.31650000
1.34417416 -20.31660000
1.34417416 -20.31660000
1.36236667 -20.31670000
1.38055919 -20.31670000
1.39875170 -20.31680000
1.41694422 -20.31690000
1.41694422 -20.31690000
1.45332925 -20.31660000
1.48971427 -20.31640000
1.52609931 -20.31620000
1.56248434 -20.31610000
1.56248434 -20.31660000
1.78092961 -20.32750000
1.99937489 -20.35340000
2.21782016 -20.37900000
2.43626544 -20.38950000
2.43626544 -20.31690000
2.65471071 -20.32770000
2.87315599 -20.35370000
3.09160126 -20.37930000
3.31004654 -20.38970000

0.00000000 -17.75520000
0.03151036 -17.75500000
0.06302072 -17.75490000
0.09453108 -17.75490000
0.12604144 -17.75490000
0.12604144 -17.75490000
0.14423396 -17.75490000
0.16242647 -17.75500000
0.18061899 -17.75500000
0.19881150 -17.75510000
0.19881150 -17.75510000
0.23519653 -17.75500000
0.27158156 -17.75500000
0.30796659 -17.75510000
0.34435162 -17.75520000
0.34435162 -17.75520000
0.56279689 -17.73300000
0.78124217 -17.67840000
0.99968744 -17.62230000
1.21813272 -17.59870000
1.21813272 -17.59870000
1.24964308 -17.59850000
1.28115344 -17.59840000
1.31266380 -17.59840000
1.34417416 -17.59840000
1.34417416 -17.59840000
1.36236667 -17.59840000
1.38055919 -17.59840000
1.39875170 -17.59850000
1.41694422 -17.59850000
1.41694422 -17.59850000
1.45332925 -17.59850000
1.48971427 -17.59850000
1.52609931 -17.59860000
1.56248434 -17.59870000
1.56248434 -17.59840000
1.78092961 -17.62200000
1.99937489 -17.67810000
2.21782016 -17.73270000
2.43626544 -17.75490000
2.43626544 -17.59850000
2.65471071 -17.62220000
2.87315599 -17.67830000
3.09160126 -17.73290000
3.31004654 -17.75510000

0.00000000 -17.75490000
0.03151036 -17.75490000
0.06302072 -17.75440000
0.09453108 -17.75370000
0.12604144 -17.75320000
0.12604144 -17.75320000
0.14423396 -17.75310000
0.16242647 -17.75290000
0.18061899 -17.75250000
0.19881150 -17.75200000
0.19881150 -17.75200000
0.23519653 -17.75300000
0.27158156 -17.75400000
0.30796659 -17.75480000
0.34435162 -17.75490000
0.34435162 -17.75490000
0.56279689 -17.73270000
0.78124217 -17.67810000
0.99968744 -17.62200000
1.21813272 -17.59840000
1.21813272 -17.59840000
1.24964308 -17.59840000
1.28115344 -17.59800000
1.31266380 -17.59730000
1.34417416 -17.59690000
1.34417416 -17.59690000
1.36236667 -17.59680000
1.38055919 -17.59660000
1.39875170 -17.59630000
1.41694422 -17.59580000
1.41694422 -17.59580000
1.45332925 -17.59670000
1.48971427 -17.59760000
1.52609931 -17.59820000
1.56248434 -17.59840000
1.56248434 -17.59690000
1.78092961 -17.62060000
1.99937489 -17.67650000
2.21782016 -17.73110000
2.43626544 -17.75320000
2.43626544 -17.59580000
2.65471071 -17.61940000
2.87315599 -17.67540000
3.09160126 -17.72990000
3.31004654 -17.75200000

0.00000000 -17.74870000
0.03151036 -17.74890000
0.06302072 -17.74950000
0.09453108 -17.75020000
0.12604144 -17.75070000
0.12604144 -17.75070000
0.14423396 -17.75070000
0.16242647 -17.75100000
0.18061899 -17.75130000
0.19881150 -17.75170000
0.19881150 -17.75170000
0.23519653 -17.75080000
0.27158156 -17.74970000
0.30796659 -17.74890000
0.34435162 -17.74870000
0.34435162 -17.74870000
0.56279689 -17.72660000
0.78124217 -17.67220000
0.99968744 -17.61640000
1.21813272 -17.59280000
1.21813272 -17.59280000
1.24964308 -17.59300000
1.28115344 -17.59350000
1.31266380 -17.59420000
1.34417416 -17.59460000
1.34417416 -17.59460000
1.36236667 -17.59460000
1.38055919 -17.59480000
1.39875170 -17.59510000
1.41694422 -17.59550000
1.41694422 -17.59550000
1.45332925 -17.59470000
1.48971427 -17.59380000
1.52609931 -17.59310000
1.56248434 -17.59280000
1.56248434 -17.59460000
1.78092961 -17.61820000
1.99937489 -17.67410000
2.21782016 -17.72850000
2.43626544 -17.75070000
2.43626544 -17.59550000
2.65471071 -17.61920000
2.87315599 -17.67510000
3.09160126 -17.72960000
3.31004654 -17.75170000

0.00000000 -17.08640000
0.03151036 -17.08600000
0.06302072 -17.08520000
0.09453108 -17.08390000
0.12604144 -17.08310000
0.12604144 -17.08310000
0.14423396 -17.08300000
0.16242647 -17.08270000
0.18061899 -17.08220000
0.19881150 -17.08160000
0.19881150 -17.08160000
0.23519653 -17.08320000
0.27158156 -17.08480000
0.30796659 -17.08590000
0.34435162 -17.08640000
0.34435162 -17.08640000
0.56279689 -17.06650000
0.78124217 -17.01780000
0.99968744 -16.96780000
1.21813272 -16.94670000
1.21813272 -16.94670000
1.24964308 -16.94630000
1.28115344 -16.94520000
1.31266380 -16.94370000
1.34417416 -16.94280000
1.34417416 -16.94280000
1.36236667 -16.94260000
1.38055919 -16.94220000
1.39875170 -16.94160000
1.41694422 -16.94080000
1.41694422 -16.94080000
1.45332925 -16.94280000
1.48971427 -16.94480000
1.52609931 -16.94620000
1.56248434 -16.94670000
1.56248434 -16.94280000
1.78092961 -16.96400000
1.99937489 -17.01420000
2.21782016 -17.06320000
2.43626544 -17.08310000
2.43626544 -16.94080000
2.65471071 -16.96210000
2.87315599 -17.01250000
3.09160126 -17.06160000
3.31004654 -17.08160000

0.00000000 -17.07620000
0.03151036 -17.07660000
0.06302072 -17.07760000
0.09453108 -17.07900000
0.12604144 -17.07980000
0.12604144 -17.07980000
0.14423396 -17.08000000
0.16242647 -17.08030000
0.18061899 -17.08080000
0.19881150 -17.08140000
0.19881150 -17.08140000
0.23519653 -17.07970000
0.27158156 -17.07800000
0.30796659 -17.07660000
0.34435162 -17.07620000
0.34435162 -17.07620000
0.56279689 -17.05600000
0.78124217 -17.00650000
0.99968744 -16.95570000
1.21813272 -16.93420000
1.21813272 -16.93420000
1.24964308 -16.93470000
1.28115344 -16.93600000
1.31266380 -16.93770000
1.34417416 -16.93870000
1.34417416 -16.93870000
1.36236667 -16.93880000
1.38055919 -16.93930000
1.39875170 -16.93990000
1.41694422 -16.94070000
1.41694422 -16.94070000
1.45332925 -16.93860000
1.48971427 -16.93640000
1.52609931 -16.93470000
1.56248434 -16.93420000
1.56248434 -16.93870000
1.78092961 -16.96000000
1.99937489 -17.01050000
2.21782016 -17.05980000
2.43626544 -17.07980000
2.43626544 -16.94070000
2.65471071 -16.96190000
2.87315599 -17.01230000
3.09160126 -17.06140000
3.31004654 -17.08140000

0.00000000 -17.07610000
0.03151036 -17.07610000
0.06302072 -17.07610000
0.09453108 -17.07610000
0.12604144 -17.07610000
0.12604144 -17.07610000
0.14423396 -17.07610000
0.16242647 -17.07610000
0.18061899 -17.07610000
0.19881150 -17.07610000
0.19881150 -17.07610000
0.23519653 -17.07610000
0.27158156 -17.07620000
0.30796659 -17.07620000
0.34435162 -17.07610000
0.34435162 -17.07610000
0.56279689 -17.05590000
0.78124217 -17.00630000
0.99968744 -16.95550000
1.21813272 -16.93410000
1.21813272 -16.93410000
1.24964308 -16.93410000
1.28115344 -16.93410000
1.31266380 -16.93410000
1.34417416 -16.93410000
1.34417416 -16.93410000
1.36236667 -16.93410000
1.38055919 -16.93410000
1.39875170 -16.93410000
1.41694422 -16.93420000
1.41694422 -16.93420000
1.45332925 -16.93420000
1.48971427 -16.93420000
1.52609931 -16.93420000
1.56248434 -16.93410000
1.56248434 -16.93410000
1.78092961 -16.95550000
1.99937489 -17.00640000
2.21782016 -17.05590000
2.43626544 -17.07610000
2.43626544 -16.93420000
2.65471071 -16.95560000
2.87315599 -17.00640000
3.09160126 -17.05600000
3.31004654 -17.07610000

0.00000000 -16.56530000
0.03151036 -16.56210000
0.06302072 -16.55300000
0.09453108 -16.54030000
0.12604144 -16.53220000
0.12604144 -16.53220000
0.14423396 -16.53100000
0.16242647 -16.52750000
0.18061899 -16.52180000
0.19881150 -16.51420000
0.19881150 -16.51420000
0.23519653 -16.53220000
0.27158156 -16.54910000
0.30796659 -16.56110000
0.34435162 -16.56530000
0.34435162 -16.56530000
0.56279689 -16.54720000
0.78124217 -16.50260000
0.99968744 -16.45660000
1.21813272 -16.43720000
1.21813272 -16.43720000
1.24964308 -16.43400000
1.28115344 -16.42480000
1.31266380 -16.41190000
1.34417416 -16.40370000
1.34417416 -16.40370000
1.36236667 -16.40250000
1.38055919 -16.39890000
1.39875170 -16.39320000
1.41694422 -16.38550000
1.41694422 -16.38550000
1.45332925 -16.40370000
1.48971427 -16.42080000
1.52609931 -16.43290000
1.56248434 -16.43720000
1.56248434 -16.40370000
1.78092961 -16.42320000
1.99937489 -16.46930000
2.21782016 -16.51400000
2.43626544 -16.53220000
2.43626544 -16.38550000
2.65471071 -16.40510000
2.87315599 -16.45120000
3.09160126 -16.49600000
3.31004654 -16.51420000

0.00000000 -16.45180000
0.03151036 -16.45650000
0.06302072 -16.46920000
0.09453108 -16.48550000
0.12604144 -16.49500000
0.12604144 -16.49500000
0.14423396 -16.49640000
0.16242647 -16.50030000
0.18061899 -16.50640000
0.19881150 -16.51420000
0.19881150 -16.51420000
0.23519653 -16.49500000
0.27158156 -16.47440000
0.30796659 -16.45800000
0.34435162 -16.45180000
0.34435162 -16.45180000
0.56279689 -16.43350000
0.78124217 -16.38860000
0.99968744 -16.34230000
1.21813272 -16.32270000
1.21813272 -16.32270000
1.24964308 -16.32750000
1.28115344 -16.34020000
1.31266380 -16.35660000
1.34417416 -16.36620000
1.34417416 -16.36620000
1.36236667 -16.36750000
1.38055919 -16.37150000
1.39875170 -16.37770000
1.41694422 -16.38550000
1.41694422 -16.38550000
1.45332925 -16.36620000
1.48971427 -16.34540000
1.52609931 -16.32900000
1.56248434 -16.32270000
1.56248434 -16.36620000
1.78092961 -16.38570000
1.99937489 -16.43200000
2.21782016 -16.47680000
2.43626544 -16.49500000
2.43626544 -16.38550000
2.65471071 -16.40500000
2.87315599 -16.45120000
3.09160126 -16.49600000
3.31004654 -16.51420000

0.00000000 -15.84940000
0.03151036 -15.84940000
0.06302072 -15.84940000
0.09453108 -15.84940000
0.12604144 -15.84940000
0.12604144 -15.84940000
0.14423396 -15.84940000
0.16242647 -15.84940000
0.18061899 -15.84940000
0.19881150 -15.84940000
0.19881150 -15.84940000
0.23519653 -15.84940000
0.27158156 -15.84940000
0.30796659 -15.84940000
0.34435162 -15.84940000
0.34435162 -15.84940000
0.56279689 -15.83150000
0.78124217 -15.78770000
0.99968744 -15.74280000
1.21813272 -15.72400000
1.21813272 -15.72400000
1.24964308 -15.72400000
1.28115344 -15.72400000
1.31266380 -15.72400000
1.34417416 -15.72400000
1.34417416 -15.72400000
1.36236667 -15.72400000
1.38055919 -15.72400000
1.39875170 -15.72400000
1.41694422 -15.72400000
1.41694422 -15.72400000
1.45332925 -15.72400000
1.48971427 -15.72400000
1.52609931 -15.72400000
1.56248434 -15.72400000
1.56248434 -15.72400000
1.78092961 -15.74280000
1.99937489 -15.78760000
2.21782016 -15.83150000
2.43626544 -15.84940000
2.43626544 -15.72400000
2.65471071 -15.74280000
2.87315599 -15.78760000
3.09160126 -15.83150000
3.31004654 -15.84940000

0.00000000 -15.84930000
0.03151036 -15.83960000
0.06302072 -15.81250000
0.09453108 -15.77490000
0.12604144 -15.75090000
0.12604144 -15.75090000
0.14423396 -15.74740000
0.16242647 -15.73700000
0.18061899 -15.72020000
0.19881150 -15.69740000
0.19881150 -15.69740000
0.23519653 -15.75090000
0.27158156 -15.80090000
0.30796659 -15.83640000
0.34435162 -15.84930000
0.34435162 -15.84930000
0.56279689 -15.83140000
0.78124217 -15.78760000
0.99968744 -15.74270000
1.21813272 -15.72390000
1.21813272 -15.72390000
1.24964308 -15.71430000
1.28115344 -15.68740000
1.31266380 -15.65020000
1.34417416 -15.62650000
1.34417416 -15.62650000
1.36236667 -15.62300000
1.38055919 -15.61270000
1.39875170 -15.59600000
1.41694422 -15.57350000
1.41694422 -15.57350000
1.45332925 -15.62650000
1.48971427 -15.67600000
1.52609931 -15.71110000
1.56248434 -15.72390000
1.56248434 -15.62650000
1.78092961 -15.64520000
1.99937489 -15.68970000
2.21782016 -15.73320000
2.43626544 -15.75090000
2.43626544 -15.57350000
2.65471071 -15.59210000
2.87315599 -15.63640000
3.09160126 -15.67970000
3.31004654 -15.69740000

0.00000000 -15.44850000
0.03151036 -15.48030000
0.06302072 -15.54290000
0.09453108 -15.60480000
0.12604144 -15.63720000
0.12604144 -15.63720000
0.14423396 -15.64160000
0.16242647 -15.65420000
0.18061899 -15.67350000
0.19881150 -15.69740000
0.19881150 -15.69740000
0.23519653 -15.63720000
0.27158156 -15.56380000
0.30796659 -15.48900000
0.34435162 -15.44850000
0.34435162 -15.44850000
0.56279689 -15.43140000
0.78124217 -15.38970000
0.99968744 -15.34710000
1.21813272 -15.32910000
1.21813272 -15.32910000
1.24964308 -15.35980000
1.28115344 -15.42100000
1.31266380 -15.48200000
1.34417416 -15.51400000
1.34417416 -15.51400000
1.36236667 -15.51840000
1.38055919 -15.53080000
1.39875170 -15.54990000
1.41694422 -15.57350000
1.41694422 -15.57350000
1.45332925 -15.51400000
1.48971427 -15.44160000
1.52609931 -15.36830000
1.56248434 -15.32910000
1.56248434 -15.51400000
1.78092961 -15.53250000
1.99937489 -15.57660000
2.21782016 -15.61960000
2.43626544 -15.63720000
2.43626544 -15.57350000
2.65471071 -15.59210000
2.87315599 -15.63640000
3.09160126 -15.67970000
3.31004654 -15.69740000

0.00000000 -15.44830000
0.03151036 -15.44840000
0.06302072 -15.44840000
0.09453108 -15.44840000
0.12604144 -15.44840000
0.12604144 -15.44840000
0.14423396 -15.44840000
0.16242647 -15.44830000
0.18061899 -15.44830000
0.19881150 -15.44830000
0.19881150 -15.44830000
0.23519653 -15.44840000
0.27158156 -15.44840000
0.30796659 -15.44850000
0.34435162 -15.44830000
0.34435162 -15.44830000
0.56279689 -15.43130000
0.78124217 -15.38960000
0.99968744 -15.34690000
1.21813272 -15.32900000
1.21813272 -15.32900000
1.24964308 -15.32910000
1.28115344 -15.32910000
1.31266380 -15.32910000
1.34417416 -15.32900000
1.34417416 -15.32900000
1.36236667 -15.32900000
1.38055919 -15.32900000
1.39875170 -15.32900000
1.41694422 -15.32900000
1.41694422 -15.32900000
1.45332925 -15.32910000
1.48971427 -15.32910000
1.52609931 -15.32910000
1.56248434 -15.32900000
1.56248434 -15.32900000
1.78092961 -15.34700000
1.99937489 -15.38960000
